ANIOS,EXPORTACIONES
2003,5501.00
2004,6232.70
2005,8118.30
2006,10137.00
2007,10449.50
2008,12794.60
2009,9939.10
2010,13193.00
2011,16036.20
2012,18496.30
2013,18709.30
2014,19363.50
2015,16521.50
2016,15175.40
2017,16927.00
